listing_id,street,neighbourhood,zipcode,city,state,country,latitude,longitude
14309046,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36003416,4.863981975
14311358,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36103721,4.875157316
14378735,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36427596,4.878098618
14711794,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36251489,4.862413617
14819551,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36251866,4.868400669
14831696,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36117305,4.866754582
14853465,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36566015,4.876075865
14985425,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36564994,4.877833744
15053415,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.35876708,4.861799346
15069951,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.3612993,4.859674701
15159197,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36017647,4.863469104
15544528,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.35957097,4.862375299
15610200,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36257196,4.865806729
15710694,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36201894,4.863598589
15779877,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.3591078,4.860135348
16021092,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36176022,4.862974295
16084127,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36312066,4.877212191
16121305,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36301432,4.872879329
16137827,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.35786267,4.85769297
16141651,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36206586,4.864055207
16190112,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.35903359,4.863513935
16199928,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36329906,4.879110817
16332019,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36323618,4.875485767
16370856,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36004666,4.860856104
16374467,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36133719,4.869897602
16541896,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36554271,4.875617515
16566089,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36131618,4.858855738
16719576,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.3628801,4.865041219
16761229,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36392208,4.877905561
16840520,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36100806,4.868473993
16981654,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36185288,4.85751245
17218133,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36295728,4.865347922
17218784,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36462255,4.877663046
17324314,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.3616254,4.862378689
17345532,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36413045,4.877468811
17470838,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36456012,4.877705761
17508421,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36265451,4.873437288
17509209,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36475404,4.877278811
17519451,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36201009,4.863672766
17522910,"Amsterdam, Noord-Holland, Netherlands","De Baarsjes - Oud-West","1054","Amsterdam","Noord-Holland","Netherlands",52.36210964,4.863366411
